Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Description,Intended audience,Slideshare Key,Link to slidedeck,Image,Video,Duration,Featured
Grow Smart or Die Fast: 5 Guidelines to Navigate the Recession ,5-guiding-principles-to-not-f-k-up-modern-b2b-commerce,648394fc2bc06d23090d807c,648394fc2bc06d23090d86fa,Thu Aug 11 2022 20:43:29 GMT+0000 (Coordinated Universal Time),Tue Dec 13 2022 14:06:06 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p id="""">Build for the customer journeys of tomorrow and prepare your commerce platform for fast changes in customer and supplier demands. I offer you 5 guiding principles to get ready for the near future and discuss Composable Commerce and (B2B and B2C) marketplaces.</p>",E-commerce managers & marketeers,IBXSZnpUUsGoDI,https://www.slideshare.net/gxjansen/grow-smart-or-die-fast-5-guidelines-to-navigate-the-recession,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/62f56df1cea3730483fa1182_guido-4.jpg,,30 min,true
5 Ultimate usability tips for E-commerce,5-ultimate-usability-tips-for-e-commerce,648394fc2bc06d23090d807c,648394fc2bc06d23090d8540,Sat Dec 09 2017 16:11:45 GMT+0000 (Coordinated Universal Time),Wed Oct 26 2022 21:01:04 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>I’d like to talk about how companies can implement an A/B testing process in their company to start with conversion optimization. This session wil be a combination of theory (models, best practices) and experience from doing this myself.</p>",,N2ZouGMXRDi7x8,http://www.slideshare.net/gxjansen/5-ultimate-usability-tips-for-ecommerce,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/604e4dc47712d4c5c9c75efc_CEuhsyuWAAAD4rp.jpeg,,30 minutes,false
Let's have a talk about giving talks,a-talk-about-giving-talks,648394fc2bc06d23090d807c,648394fc2bc06d23090d841d,Sat Dec 09 2017 15:18:25 GMT+0000 (Coordinated Universal Time),Sun Mar 14 2021 17:54:39 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>Many people want to go on stage and share their knowledge and experience, but many don't. In this open session I usually 'drag' another regular speaker on stage with me and start talking about how to give talks, how to prepare, the failures I had and mistakes I made. I talk about the impostor symptom and give a lot of practical tips for people who would like to some day present a session at a conference.</p><p>No slides are being used during this session.</p>",,,,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/604e4ddf7f3b7844db557139_30239340682_ec5a339bc1_z.jpeg,https://www.youtube.com/watch?v=6uuXglfPqXE,20-30 minutes,false
Building your Optimization Dream Team,building-your-optimization-dream-team,648394fc2bc06d23090d807c,648394fc2bc06d23090d8594,Sat Dec 09 2017 11:59:03 GMT+0000 (Coordinated Universal Time),Mon Aug 22 2022 21:04:11 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>In this session I share my experience in building in-house Conversion optimization teams: what platforms, people and processes do you need?</p>",E-commerce manager and/or CRO specialists looking to build/expand their optimization team.,D24Zf8H2XIQLjx,https://www.slideshare.net/gxjansen/building-your-optimization-dream-team,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/604e4dd72c8e12796600e152_22713202_1482878368414021_3313586431392520781_o(1).jpeg,https://www.youtube.com/watch?v=V-qfj97DVSE,20-25 minutes,false
Building your optimization technology stack,building-your-optimization-technology-stack,648394fc2bc06d23090d807c,648394fc2bc06d23090d8639,Tue Nov 12 2019 15:50:43 GMT+0000 (Coordinated Universal Time),Tue Aug 09 2022 20:45:53 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>When starting out with a program around optimizing the conversion rate (CRO) or - a bit broader - the customer experience (CXO), you will inevitability run into some challenges around the technology stack you’ll be using.<br></p><p>Let’s talk about that.</p>",E-commerce manager and/or CRO specialists looking to build/expand their optimization software.,a7zOP3RNf3ZbHw,https://www.slideshare.net/gxjansen/meetbuilding-your-optimization-technology-stacking-template,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/622f5bb1c640c748e3704f91_webstacks-ewXKiIezeTg-unsplash.jpg,,20 min,false
Co-hosting Commerce Sneaks,commerce-sneaks,648394fc2bc06d23090d807c,648394fc2bc06d23090d8637,Wed Sep 04 2019 10:19:03 GMT+0000 (Coordinated Universal Time),Wed Oct 16 2019 15:00:49 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,,,,,
Composable Commerce & Packaged Business Capabilities,composable-commerce-packaged-business-capabilities,648394fc2bc06d23090d807c,648394fc2bc06d23090d86e5,Fri Mar 11 2022 15:23:03 GMT+0000 (Coordinated Universal Time),Tue Aug 30 2022 18:56:10 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>In today's business landscape, agility and flexibility are key. Organizations are achieving this through a variety of methods, including composable enterprise and PBCs. But what are these two often-heard buzzwords, and how can they help your business?</p>",E-commerce decision makers looking that are interested in exploring modern commerce platform options.,,,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/626158091f829d31e3edaa74_08.02.2022_Spryker_CEO_0346_cropped.jpg,https://www.youtube.com/watch?v=MPOGC9WwhvQ,30-40 minutes,true
Compute required Sample Size for your A/B tests (A-priori),compute-required-sample-size-for-your-a-b-tests-a-priori,648394fc2bc06d23090d807c,648394fc2bc06d23090d857d,Sat Dec 09 2017 15:54:47 GMT+0000 (Coordinated Universal Time),Sun Mar 14 2021 17:54:22 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>So if you want to get started with A/B testing, you should calculate up front if you have enough users and conversions to see if it is even possible to perform an A/B test on your site. There are some general rules of thumb out there that say ""don't go A/B testing when you have &lt; 1000 conversions"", which is fine, but probably not really helpful in your situation.</p><p data-new-link=""true"">See <a href=""/post/compute-required-sample-size-for-your-ab-tests"" data-rt-link-type=""external"">http://www.gui.do/post/compute-required-sample-size-for-your-ab-tests</a> for the full article and explainer video.</p>",,,http://www.gui.do/post/compute-required-sample-size-for-your-ab-tests/,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/604e41807712d48b5ab72a2f_Cursor_and_A_B_Testing__Compute_required_Sample_Size__A-Priori__-_Public_version_-_Google_Sheets.jpeg,https://www.youtube.com/watch?v=46Yjm2lZHE,15 minutes,
Conversion optimization,conversion-optimization,648394fc2bc06d23090d807c,648394fc2bc06d23090d8477,Sat Dec 09 2017 13:12:02 GMT+0000 (Coordinated Universal Time),Sat Dec 09 2017 13:12:32 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),,,,http://www.slideshare.net/gxjansen/conversie-jd10nl,,,,
Creating an optimization culture,creating-an-optimization-culture,648394fc2bc06d23090d807c,648394fc2bc06d23090d84bb,Sat Dec 09 2017 15:15:50 GMT+0000 (Coordinated Universal Time),Tue Aug 09 2022 20:46:03 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),"<p>How to align CRO teams across multiple&nbsp;countries and timezones, all in different stages of digital maturity? During this session, Guido shares his experience and talks about&nbsp;the challenges of&nbsp;building an agile experimentation/ online optimization culture within a large international corporation.</p>",E-commerce managers and CRO Specialists.,I57wQxweTFM,https://www.slideshare.net/gxjansen/creating-an-optimization-culture,https://uploads-ssl.webflow.com/5a2472d2a1816d000132b7f0/625411088a543e72074c7c72_604e4de51a9e05740947ba5a_guido-(1).jpeg,https://youtu.be/nhLTTLMdLsU,20-30 minutes,false
Cross channel possibilities with Magento,cross-channel-possibilities-with-magento,648394fc2bc06d23090d807c,648394fc2bc06d23090d845f,Sat Dec 09 2017 16:49:04 GMT+0000 (Coordinated Universal Time),Sat Dec 16 2017 09:02:23 GMT+0000 (Coordinated Universal Time),Fri Jun 09 2023 21:16:53 GMT+0000 (Coordinated Universal Time),<p>Slides I used to present cross channel capabilities with Magento during the ISM eCommerce Cross Channel events.</p>,,pfVggpdCZv1MbZ,http://www.slideshare.net/gxjansen/cross-channel-with-magento,,,20 minutes,
